Nro / Fecha Ingreso,Publ. DO Extracto,Publ. DS / Notif. RES.,Empresa,Comuna,Direccion,Latitud,Longitud
95378 - 20/12/2004,-,136 - 20/05/2005,Entel Móvil,Recoleta,METRO ESTACION PATRONATO,"33°25""46","70°38""50"
13057 - 18/01/2006,-,287 - 14/07/2006,Movistar,Recoleta,Av. Recoleta Nº 23,"33°25""57","70°38""52"
16093 - 13/02/2009,-,- - -,ENTEL PCS,Recoleta,METRO ESTACION DORSAL,"33°23""49","70°38""34"
16093 - 13/02/2009,-,- - -,ENTEL PCS,Recoleta,METRO ESTACION ZAPADORES,"33°23""27","70°38""33"
13833 - 09/04/1998,-,231 - 06/07/2000,CLARO CHILE SPA,Recoleta,S/D,"33°26"".98988","70°38""34.01016"
14592 - 28/01/2011,29/03/2011,- - -,VTR MOVIL,Recoleta,Santos Dumont N° 867.,"33°25""16","70°38""59"
42299 - 10/07/2006,-,719 - 07/05/2008,Movistar,Recoleta,Av. Guanaco N° 2.531,"33°23""59","70°39""28"
83797 - 23/12/2005,-,256 - 09/06/2006,Entel Móvil,Recoleta,METRO ESTACION DORSAL,"33°23""49","70°38""34"
69420 - 18/12/2006,-,550 - 04/08/2007,MOVISTAR MOVIL,Recoleta,Juárez Corta Nº640,"33°25""26","70°39""2"
50257 - 27/06/2013,-,- - -,WOM,Recoleta,Pedro Donoso N°489,"33°23""42","70°38""0"
24704 - 25/03/2011,-,- - -,WOM,Recoleta,Av. Recoleta Nº 975 / Alberto Figueroa Nº 497,"33°25""15","70°38""39"
59134 - 23/10/2006,-,223 - 21/04/2007,Movistar,Recoleta,Dávila Baeza N° 700 (La Vega),"33°25""45","70°38""56"
16093 - 13/02/2009,-,- - -,ENTEL PCS,Recoleta,METRO ESTACION EINSTEIN,"33°24""20","70°38""39"
31846 - 12/04/2005,-,284 - 14/09/2005,MOVISTAR MOVIL,Recoleta,Einstein Poniente N° 626,"33°24""21","70°38""39"
33683 - 23/07/2010,-,- - -,MOVISTAR MOVIL,Recoleta,Av. Reina de Chile Nº 0820,"33°24""20","70°37""25"
27159 - 25/04/2007,-,77 - 20/05/2008,CLARO CHILE SPA,Recoleta,Recoleta N° 3099,"33°23""52.28988","70°38""33.50004"
16093 - 13/02/2009,-,- - -,ENTEL PCS,Recoleta,METRO ESTACION CEMENTERIO,"33°24""51","70°38""37"
47758 - 03/11/2010,14/01/2011,- - -,VTR MOVIL,Recoleta,Manzano N° 54,"33°25""56.1","70°38""48.3"
54473 - 24/03/2015,-,- - -,MOVISTAR MOVIL,Recoleta,Av. Artesanos Nº 715,"33°25""53","70°39""0"
95379 - 20/12/2004,-,135 - 09/05/2005,Entel Móvil,Recoleta,METRO ESTACION CERRO BLANCO,"33°25""20","70°38""42"
59134 - 23/10/2006,-,223 - 21/04/2007,Movistar,Recoleta,Recoleta N° 3.501,"33°23""35","70°38""32"
160818 - 04/12/2017,-,- - -,ENTEL PCS,Recoleta,DAVILA BAEZA Nº 700,"33°25""45","70°38""50"
31362 - 16/10/2001,-,467 - 30/08/2002,Entel Móvil,Recoleta,"REGIMIENTO BUIN, AV. EL SALTO 2087","33°24""30","70°37""56"
24455 - 04/04/2007,-,641 - 11/08/2007,CLARO CHILE SPA,Recoleta,Av. Recoleta N° 2268,"33°24""21.98988","70°38""36.98988"
37632 - 25/08/2010,-,- - -,WOM,Recoleta,Raul Montt  N°1046,"33°23""30","70°39""6"
37624 - 03/05/2013,-,- - -,ENTEL PCS,Recoleta,RECOLETA ESQ. VESPUCIO,"33°23""2.93","70°38""25.28"
41154 - 04/07/2006,-,632 - 12/12/2006,Entel Móvil,Recoleta,EUSEBIO LILLO Nº 321,"33°25""45","70°38""34"
37632 - 25/08/2010,-,- - -,WOM,Recoleta,"General Lastra Nº 743, Patio de Remates","33°25""41","70°38""59"
45209 - 19/10/2010,11/02/2011,- - -,MOVISTAR MOVIL,Recoleta,Av. Peru 1454,"33°24""54","70°38""21"
76746 - 16/11/2005,-,55 - 17/02/2006,Entel Móvil,Recoleta,Metro Estación Cementerio,"33°24""51","70°38""37"
37624 - 03/05/2013,-,- - -,ENTEL PCS,Recoleta,Avenida Einstein N°436,"33°24""18","70°38""54"
60217 - 26/10/2006,-,278 - 16/05/2007,Movistar,Recoleta,Asunción N° 426,"33°25""50","70°38""40"
41443 - 05/07/2006,-,567 - 20/11/2006,CLARO CHILE SPA,Recoleta,Av. Recoleta Nº  2268,"33°24""21.98988","70°38""36.98988"
35104 - 12/11/1999,-,369 - 27/09/2001,CLARO CHILE SPA,Recoleta,Recoleta,"33°24""21.98988","70°38""36.98988"
55838 - 20/12/2010,17/02/2011,- - -,ENTEL PCS,Recoleta,SANTOS DUMONT Nº 867,"33°25""16","70°38""59.8"
30683 - 26/04/2011,03/08/2011,- - -,WOM,Recoleta,Eusebio Lillo  321,"33°25""42.88","70°38""34.45"
83797 - 23/12/2005,-,256 - 09/06/2006,Entel Móvil,Recoleta,METRO ESTACION ZAPADORES,"33°23""27","70°38""33"
83797 - 23/12/2005,-,256 - 09/06/2006,Entel Móvil,Recoleta,METRO ESTACION VESPUCIO NORTE,"33°22""47","70°38""55"
16093 - 13/02/2009,-,- - -,ENTEL PCS,Recoleta,METRO ESTACION PATRONATO,"33°25""46","70°38""50"
16093 - 13/02/2009,-,- - -,ENTEL PCS,Recoleta,EUSEBIO LILLO Nº 321,"33°25""45","70°38""34"
27799 - 11/04/2011,-,- - -,WOM,Recoleta,Dardignac N°  62,"33°26""1","70°38""15"
34650 - 22/06/2009,-,- - -,MOVISTAR MOVIL,Recoleta,Juarez Corta N° 640,"33°25""26","70°39""2"
14215 - 14/02/2003,-,24 - 10/03/2004,Movistar,Recoleta,Einstein Poniente N° 626,"33°24""21","70°38""39"
23049 - 15/03/2004,-,185 - 18/06/2004,CLARO CHILE SPA,Recoleta,"Dominica Nº 185, Subestacion Dominica","33°25""38.70012","70°38""22.70004"
49251 - 11/11/2010,14/01/2011,- - -,VTR MOVIL,Recoleta,Raúl Montt N° 1046,"33°23""29.1","70°39""6"
67759 - 02/09/2013,-,- - -,CLARO CHILE SPA,Recoleta,Av. México N° 785,"33°24""24.4008","70°38""58.4988"
38009 - 25/09/2003,-,682 - 16/12/2003,Movistar,Recoleta,Bellavista N° 180,"33°26""2","70°38""30"
43628 - 06/11/2003,-,596 - 16/12/2004,Movistar,Recoleta,Bellavista N°180,"33°26""2","70°38""30"
16093 - 13/02/2009,-,- - -,ENTEL PCS,Recoleta,METRO ESTACION CERRO BLANCO,"33°25""20","70°38""42"
20165 - 25/03/2008,-,- - -,ENTEL PCS,Recoleta,Av. Peru N° 602,"33°25""32","70°38""24"
20168 - 25/03/2008,-,- - -,Entel Móvil,Recoleta,AV. PERÚ Nº 602,"33°25""32","70°38""24"
29087 - 20/03/2012,17/10/2012,- - -,WOM,Recoleta,"Av, México 615","33°24""29","70°38""37"
79659 - 30/11/2005,-,138 - 06/05/2006,MOVISTAR MOVIL,Recoleta,Av. Recoleta Nº 23,"33°25""57","70°38""52"
116071 - 09/09/2016,-,- - -,ENTEL PCS,Recoleta,Plata Nº455,"33°23""37","70°38""9"
17976 - 26/04/2001,-,187 - 30/05/2002,MOVISTAR MOVIL,Recoleta,Pio Nono N° 328,"33°25""54","70°38""10"
61888 - 07/11/2006,-,114 - 27/03/2007,ENTEL PCS,Recoleta,AV. LA SERENA Nº 776,"33°23""46","70°38""46"
18144 - 10/04/2000,-,303 - 21/08/2001,Entel Móvil,Recoleta,PURISIMA Nº 280,"33°25""50.34","70°38""18.46"
41443 - 05/07/2006,-,567 - 20/11/2006,CLARO CHILE SPA,Recoleta,"Dominica N° 185 , S/E Domínica Chilectra","33°25""38.70012","70°38""22.70004"
38945 - 03/09/2010,03/11/2010,- - -,VTR MOVIL,Recoleta,"Lircay N° 352, ex 346","33°24""21.1","70°38""17.3"
18173 - 07/03/2008,-,656 - 08/10/2008,ENTEL PCS,Recoleta,AV. PERÚ Nº 1201,"33°25""6","70°38""21"
87789 - 11/07/2016,-,- - -,ENTEL PCS,Recoleta,LIRCAY Nº 352,"33°24""21","70°38""17"
14214 - 14/02/2003,-,23 - 10/03/2004,Movistar,Recoleta,Einstein Poniente N° 626,"33°24""21","70°38""39"
50899 - 21/07/2004,-,490 - 09/10/2004,CLARO CHILE SPA,Recoleta,Raúl Montt N°1046,"33°23""30.08004","70°39""5.78988"
39552 - 10/05/2013,-,- - -,MOVISTAR MOVIL,Recoleta,Recoleta 975,"33°25""20.71","70°38""43.2"
69420 - 18/12/2006,-,550 - 04/08/2007,MOVISTAR MOVIL,Recoleta,"Av. Américo Vespucio N°568, Recoleta","33°23""4.44","70°38""23.44"
31846 - 12/04/2005,-,284 - 14/09/2005,MOVISTAR MOVIL,Recoleta,Bellavista N° 180,"33°26""2","70°38""30"
85808 - 12/11/2004,-,208 - 20/07/2005,Movistar,Recoleta,Enrique Donoso Nº 489,"33°23""42","70°37""59"
31017 - 08/04/2005,-,306 - 06/09/2005,CLARO CHILE SPA,Recoleta,Av. El Salto Nº 2087,"33°24""25.98984","70°37""57.10008"
69420 - 18/12/2006,-,550 - 04/08/2007,MOVISTAR MOVIL,Recoleta,"Eusebio Lillo N° 321 al 323, Recoleta","33°25""43","70°38""33"
69420 - 18/12/2006,-,550 - 04/08/2007,MOVISTAR MOVIL,Recoleta,"Av. Guanaco N° 2531, Recoleta","33°23""59","70°39""28"
76746 - 16/11/2005,-,55 - 17/02/2006,Entel Móvil,Recoleta,METRO ESTACION EINSTEIN,"33°24""20","70°38""39"
44218 - 18/06/2004,-,420 - 28/08/2004,Entel Móvil,Recoleta,SAN CRISTOBAL Nº352,"33°25""16","70°38""27"
46196 - 30/06/2004,-,489 - 09/10/2004,CLARO CHILE SPA,Recoleta,El Manzano N°377,"33°25""56.98992","70°38""51.20016"
31367 - 16/10/2001,-,500 - 13/09/2002,ENTEL PCS,Recoleta,"REGIMIENTO BUIN, AV. EL SALTO 2087","33°24""30","70°37""56"
83820 - 23/12/2005,-,261 - 17/06/2006,Movistar,Recoleta,Metro Estación Einstein (L - 4),"33°24""20.32","70°38""36.6"
83440 - 21/12/2005,-,283 - 02/08/2006,Movistar,Recoleta,Av. Guanaco N°2.531,"33°23""59","70°39""28"
18179 - 07/03/2008,-,651 - 08/10/2008,Entel Móvil,Recoleta,AV. PERÚ Nº 1201,"33°25""6","70°38""21"
144 - 14/04/1997,-,144 - 23/06/1997,CLARO CHILE SPA,Recoleta,RECOLETA,"33°26"".98988","70°38""34.01016"
13057 - 18/01/2006,-,287 - 14/07/2006,Movistar,Recoleta,Estación Cerro Blanco,"33°25""20.71","70°38""43.2"
40860 - 16/05/2013,-,- - -,MOVISTAR MOVIL,Recoleta,Av. Raul Montt 1046,"33°23""30.08004","70°39""5.78988"
21864 - 11/03/2011,16/05/2011,- - -,WOM,Recoleta,Nueva La Obra Nº 2470 ex Nº 2670,"33°24""0","70°39""16"
33684 - 23/07/2010,-,- - -,MOVISTAR MOVIL,Recoleta,Av. Reina de Chile Nº 0820,"33°24""20","70°37""25"
55838 - 20/12/2010,17/02/2011,- - -,ENTEL PCS,Recoleta,RAUL MONTT Nº 1050,"33°23""31","70°39""6"
54062 - 16/08/2011,-,- - -,WOM,Recoleta,Estación Dorsal L2,"33°23""49","70°38""34"
25549 - 20/04/2009,-,- - -,MOVISTAR MOVIL,Recoleta,Enrique Donoso Nº 489,"33°23""42","70°37""59"
59203 - 09/09/2011,-,- - -,VTR MOVIL,Recoleta,Ernesto Pinto Lagarrigue Nº 179,"33°25""59.87","70°38""12.61"
57500 - 29/12/2008,-,- - -,Entel Móvil,Recoleta,Juarez Corta Nº 632,"33°25""26","70°39""2"
57743 - 30/12/2008,-,- - -,ENTEL PCS,Recoleta,JUAREZ CORTA Nº 632,"33°25""26","70°39""2"
43628 - 06/11/2003,-,596 - 16/12/2004,Movistar,Recoleta,Einstein poniente N°626,"33°24""21","70°38""39"
16093 - 13/02/2009,-,- - -,ENTEL PCS,Recoleta,METRO ESTACION VESPUCIO NORTE,"33°22""47","70°38""55"
67759 - 02/09/2013,-,- - -,CLARO CHILE SPA,Recoleta,Olivos N° 892,"33°25""26","70°39""2"
20474 - 18/03/2009,-,- - -,MOVISTAR MOVIL,Recoleta,Av. Artesanos Nº 715,"33°25""53","70°39""0"
58131 - 22/11/2007,-,438 - 02/07/2008,MOVISTAR MOVIL,Recoleta,San Cristobal Nº 352,"33°25""16","70°38""27"
26921 - 08/05/2008,-,760 - 19/11/2008,ENTEL PCS,Recoleta,PLATA Nº 455,"33°23""37","70°38""9"
61889 - 07/11/2006,-,115 - 27/03/2007,ENTEL PCS,Recoleta,RECOLETA ESQ. VESPUCIO,"33°23""2.93","70°38""25.28"
61889 - 07/11/2006,-,115 - 27/03/2007,ENTEL PCS,Recoleta,Recolea Esq. Vespucio,"33°32""55","70°39""27"
17157 - 13/02/2007,-,453 - 20/07/2007,Movistar,Recoleta,Ernesto Pinto Lagarrigue N° 179,"33°25""59.87","70°38""12.61"
59128 - 23/10/2006,-,116 - 11/04/2007,MOVISTAR MOVIL,Recoleta,Dávila Baeza N° 700 (La Vega),"33°25""45","70°38""56"
59128 - 23/10/2006,-,116 - 11/04/2007,MOVISTAR MOVIL,Recoleta,Recoleta N° 3501,"33°23""35","70°38""32"
59133 - 23/10/2006,-,121 - 11/04/2007,Movistar,Recoleta,Dávila Baeza N° 700 (La Vega),"33°25""45","70°38""56"
59133 - 23/10/2006,-,121 - 11/04/2007,Movistar,Recoleta,Recoleta N° 3.501,"33°23""35","70°38""32"
50917 - 19/11/2010,-,- - -,CLARO CHILE SPA,Recoleta,Estación Metro del mismo nombre,"33°25""20.71","70°38""43.2"
50917 - 19/11/2010,-,- - -,CLARO CHILE SPA,Recoleta,Estación Metro del mismo nombre,"33°24""49.7","70°38""37.8"
50917 - 19/11/2010,-,- - -,CLARO CHILE SPA,Recoleta,Estación Metro del mismo nombre,"33°23""49","70°38""34"
20165 - 25/03/2008,-,- - -,ENTEL PCS,Recoleta,Olivos N° 964,"33°25""16","70°38""59.8"
25141 - 25/04/2008,-,- - -,Entel Móvil,Recoleta,DUQUE DE KENT Nº 0978,"33°24""9.02","70°37""11.4"
60216 - 26/10/2006,-,274 - 16/05/2007,Movistar,Recoleta,Asunción N° 426,"33°25""50","70°38""40"
30421 - 03/05/2006,-,460 - 13/10/2006,Entel Móvil,Recoleta,Av. Recoleta Nº 6153,"33°21""52","70°37""57"
60212 - 26/10/2006,-,226 - 21/04/2007,MOVISTAR MOVIL,Recoleta,Asunción N° 426,"33°25""50","70°38""40"
38663 - 07/05/2013,-,- - -,Claro Serv. Empresariales,Recoleta,Santos Dumont,"33°25""16","70°38""57"
38663 - 07/05/2013,-,- - -,Claro Serv. Empresariales,Recoleta,Santos Dumont,"33°25""16","70°38""57"
37411 - 02/05/2013,-,78 - 01/08/2013,Claro Serv. Empresariales,Recoleta,"Av, Perú N° 1201","33°25""5.9988","70°38""21.3"
37411 - 02/05/2013,-,78 - 01/08/2013,Claro Serv. Empresariales,Recoleta,"Av, Perú N° 1201","33°25""5.9988","70°38""21.3"
24533 - 05/03/2013,-,- - -,Claro Serv. Empresariales,Recoleta,Santa María,"33°26"".98988","70°38""34.01016"
24533 - 05/03/2013,-,- - -,Claro Serv. Empresariales,Recoleta,Santa María,"33°26"".98988","70°38""34.01016"
103428 - 13/08/2024,-,- - -,CLARO CHILE SPA,Recoleta,Bellavista,"33°25""57","70°38""52"
103428 - 13/08/2024,-,- - -,CLARO CHILE SPA,Recoleta,Bellavista,"33°25""57","70°38""52"
24533 - 05/03/2013,-,- - -,Claro Serv. Empresariales,Recoleta,El Manzano,"33°25""45.90012","70°38""43.40004"
24533 - 05/03/2013,-,- - -,Claro Serv. Empresariales,Recoleta,El Manzano,"33°25""45.90012","70°38""43.40004"
145 - 14/04/1997,-,145 - 30/06/1997,ENTEL PCS,Recoleta,-,"33°36""41.52","70°54""5.08"
145 - 14/04/1997,-,145 - 30/06/1997,ENTEL PCS,Recoleta,-,"33°36""41.52","70°54""5.08"
42118 - 10/05/2012,-,177 - 26/03/2013,WILL,Recoleta,Duque de Kent Nº 0978,"33°24""9.02","70°37""11.4"
42118 - 10/05/2012,-,177 - 26/03/2013,WILL,Recoleta,Duque de Kent Nº 0978,"33°24""9.02","70°37""11.4"
42118 - 10/05/2012,-,177 - 26/03/2013,WILL,Recoleta,"Recoleta Esq, Vespucio","33°23""2.93","70°38""25.28"
42118 - 10/05/2012,-,177 - 26/03/2013,WILL,Recoleta,"Recoleta Esq, Vespucio","33°23""2.93","70°38""25.28"
42118 - 10/05/2012,-,177 - 26/03/2013,WILL,Recoleta,Purísima N° 280,"33°25""50.34","70°38""18.46"
42118 - 10/05/2012,-,177 - 26/03/2013,WILL,Recoleta,Purísima N° 280,"33°25""50.34","70°38""18.46"
42118 - 10/05/2012,-,177 - 26/03/2013,WILL,Recoleta,San Cristóbal N° 352,"33°25""16","70°38""27"
42118 - 10/05/2012,-,177 - 26/03/2013,WILL,Recoleta,San Cristóbal N° 352,"33°25""16","70°38""27"
42118 - 10/05/2012,-,177 - 26/03/2013,WILL,Recoleta,"Av, La Serena 776","33°23""46","70°38""46"
42118 - 10/05/2012,-,177 - 26/03/2013,WILL,Recoleta,"Av, La Serena 776","33°23""46","70°38""46"
62031 - 13/08/2013,-,- - -,MOVISTAR MOVIL,Recoleta,Santa Maria/Pionono 50m p,"33°26""8","70°38""9.5"
62031 - 13/08/2013,-,- - -,MOVISTAR MOVIL,Recoleta,Bellavista (frente USnS),"33°26""5.81","70°38""10.27"
62031 - 13/08/2013,-,- - -,MOVISTAR MOVIL,Recoleta,Bellavista (frente 14),"33°26""5.41","70°38""7.39"
62426 - 14/08/2013,18/12/2013,- - -,MOVISTAR MOVIL,Recoleta,"Manzano 377, DPTO 309","33°25""45.9","70°38""43.4"
65608 - 27/08/2013,-,- - -,CLARO CHILE SPA,Recoleta,Mexico,"33°24""24.4008","70°38""58.4988"
65608 - 27/08/2013,-,- - -,CLARO CHILE SPA,Recoleta,Mexico,"33°24""24.4008","70°38""58.4988"
6630 - 13/01/2015,-,- - -,CLARO CHILE SPA,Recoleta,Hernán Mery 1 Sur Zapadores (Poste Nº 42671 (168882)),"33°23""28.9","70°38""25.8"
88401 - 12/07/2016,-,- - -,WILL,Recoleta,Lircay N° 352,"33°24""21","70°38""17"
88401 - 12/07/2016,-,- - -,WILL,Recoleta,Lircay N° 352,"33°24""21","70°38""17"
12888 - 13/01/2014,-,64 - 04/09/2015,WILL,Recoleta,Duque de Kent Nº 0978,"33°24""9.02","70°37""11.4"
12888 - 13/01/2014,-,64 - 04/09/2015,WILL,Recoleta,Duque de Kent Nº 0978,"33°24""9.02","70°37""11.4"
43757 - 06/03/2015,-,- - -,MOVISTAR MOVIL,Recoleta,Duque de Kent 978,"33°24""8.59","70°37""11.54"
136184 - 21/11/2014,-,- - -,MOVISTAR MOVIL,Recoleta,Buenos Aires-Montevideo N°542,"33°25""36.8","70°38""36.98"
58259 - 15/05/2014,-,- - -,ENTEL PCS,Recoleta,"Antonio López de Bello 503 y 501, Manzano 206, 208, 210, 212 y 214","33°25""52.38","70°38""46.09"
103108 - 18/12/2013,06/05/2014,- - -,MOVISTAR MOVIL,Recoleta,Carlos Helo N°919,"33°25""21.2","70°38""27.6"
58268 - 15/05/2014,-,- - -,ENTEL PCS,Recoleta,Nueva La Obra,"33°24""0","70°39""16"
11303 - 07/01/2014,21/04/2014,- - -,ENTEL PCS,Recoleta,Dardignac,"33°26""1.2","70°38""15.2"
76404 - 30/09/2013,-,- - -,CLARO CHILE SPA,Recoleta,Calle Raul Montt N°1046,"33°23""30.08004","70°39""5.78988"
76404 - 30/09/2013,-,- - -,CLARO CHILE SPA,Recoleta,Calle Raul Montt N°1046,"33°23""30.08004","70°39""5.78988"
16937 - 23/01/2014,23/05/2014,- - -,ENTEL PCS,Recoleta,Av. Recoleta,"33°25""30.79","70°38""45.89"
137500 - 25/08/2015,-,- - -,WOM,Recoleta,Av. México 615,"33°24""29","70°38""37"
137500 - 25/08/2015,-,- - -,WOM,Recoleta,Raul Montt  N°1046,"33°23""30","70°39""6"
147805 - 08/09/2015,-,- - -,WOM,Recoleta,Dardignac N°  62,"33°26""1","70°38""15"
137500 - 25/08/2015,-,- - -,WOM,Recoleta,"General Lastra Nº743, Patio de Remates","33°25""41","70°38""59"
112179 - 16/06/2021,-,- - -,CLARO CHILE SPA,Recoleta,Gac ovalle 3030,"33°23""56","70°37""48"
137500 - 25/08/2015,-,- - -,WOM,Recoleta,"Av. Recoleta N°951, 955, 957, 973, 983 / Alberto Figueroa N°547","33°25""15","70°38""39"
147805 - 08/09/2015,-,- - -,WOM,Recoleta,Dardignac N°  62,"33°26""1","70°38""15"
137500 - 25/08/2015,-,- - -,WOM,Recoleta,Nueva La Obra N°2470 ex 2670,"33°24""0","70°39""16"
137500 - 25/08/2015,-,- - -,WOM,Recoleta,Pedro Donoso N° 489,"33°23""42","70°38""0"
6630 - 13/01/2015,-,- - -,CLARO CHILE SPA,Recoleta,Zapadores 1 Norponiente Salitre (Poste Nº  180431),"33°23""31.7","70°38""11.1"
6630 - 13/01/2015,-,- - -,CLARO CHILE SPA,Recoleta,María Eugenia 2 Sur Zapadores  (Poste Nº 3X902),"33°23""36.7","70°38"".9"
137500 - 25/08/2015,-,- - -,WOM,Recoleta,Avenida Lircay Nº346,"33°24""20","70°38""17"
137500 - 25/08/2015,-,- - -,WOM,Recoleta,Eusebio Lillo  321,"33°25""42.88","70°38""34.45"
12880 - 13/01/2014,-,71 - 14/09/2015,MOVISTAR MOVIL,Recoleta,Carlos Helo 919,"33°25""21.2","70°38""27.6"
12880 - 13/01/2014,-,71 - 14/09/2015,MOVISTAR MOVIL,Recoleta,Carlos Helo 919,"33°25""21.2","70°38""27.6"
